,10nodes_10regions_100000reads,10nodes_10regions_10000reads,10nodes_10regions_30000reads,10nodes_20regions_100000reads,10nodes_20regions_10000reads,10nodes_20regions_30000reads,10nodes_40regions_100000reads,10nodes_40regions_10000reads,10nodes_40regions_30000reads,20nodes_20regions_100000reads,20nodes_20regions_10000reads,20nodes_20regions_30000reads,20nodes_40regions_100000reads,20nodes_40regions_10000reads,20nodes_40regions_30000reads,20nodes_80regions_100000reads,20nodes_80regions_10000reads,20nodes_80regions_30000reads,30nodes_120regions_100000reads,30nodes_120regions_10000reads,30nodes_120regions_30000reads,30nodes_30regions_100000reads,30nodes_30regions_10000reads,30nodes_30regions_30000reads,30nodes_60regions_100000reads,30nodes_60regions_10000reads,30nodes_60regions_30000reads
0,8,8,6,9,8,5,4,6,5,9,9,9,9,8,8,3,4,7,3,2,4,9,9,9,8,9,9
1,9,7,9,9,8,8,4,4,5,9,8,9,7,8,9,3,4,2,1,0,1,9,9,9,8,9,9
2,7,7,7,8,9,7,5,5,6,8,9,9,8,4,8,6,5,3,4,0,5,9,9,9,8,4,9
3,6,9,9,7,7,8,1,7,4,8,9,9,8,9,8,3,3,3,3,3,2,9,9,9,9,9,9
4,9,6,9,9,9,9,3,4,4,8,8,9,7,8,8,1,7,3,2,0,3,9,9,9,7,9,8
5,5,8,8,8,9,7,4,5,6,9,9,9,9,8,9,2,5,5,2,3,5,9,9,9,9,9,7
6,7,1,8,7,8,5,2,7,4,9,9,9,8,9,8,4,4,5,1,5,4,9,9,9,9,9,8
7,8,6,8,8,8,9,7,0,6,9,9,9,9,6,8,4,4,3,2,1,3,9,9,9,6,9,9
8,6,9,9,9,9,6,8,6,4,9,9,9,8,9,8,0,4,4,3,1,0,9,9,9,7,8,9
9,9,6,7,8,9,7,5,8,5,9,9,9,9,9,8,7,6,4,4,5,6,9,9,9,6,9,9
10,3,9,8,9,5,8,3,6,6,9,9,9,7,8,9,3,1,4,2,1,3,9,9,9,8,8,8
11,8,6,9,8,8,8,3,2,2,9,9,9,8,9,9,3,6,6,3,4,5,9,9,9,8,9,9
12,8,9,8,8,8,7,5,4,8,9,9,8,7,8,7,8,2,3,6,2,6,9,9,7,8,9,8
